dataset,partition,record,windows,window_length
LUDB,test,97,8,440
LUDB,test,98,9,440
LUDB,test,99,11,440
LUDB,test,100,9,440
LUDB,test,101,10,440
LUDB,test,102,9,440
LUDB,test,103,13,440
LUDB,test,106,11,440
LUDB,test,107,8,440
LUDB,test,109,11,440
LUDB,test,110,7,440
LUDB,test,111,8,440
LUDB,test,112,13,440
LUDB,test,113,8,440
LUDB,test,115,8,440
LUDB,test,116,13,440
LUDB,test,117,13,440
LUDB,test,118,9,440
LUDB,test,120,8,440
LUDB,test,121,13,440
LUDB,test,122,8,440
LUDB,test,123,9,440
LUDB,test,124,8,440
LUDB,test,125,6,440
LUDB,test,126,10,440
LUDB,test,128,7,440
LUDB,test,129,8,440
LUDB,test,130,8,440
LUDB,test,131,9,440
LUDB,test,132,9,440
LUDB,test,133,7,440
LUDB,test,135,9,440
LUDB,test,137,9,440
LUDB,test,138,9,440
LUDB,test,139,10,440
LUDB,test,140,11,440
LUDB,test,141,9,440
LUDB,test,142,10,440
LUDB,test,143,11,440
LUDB,test,144,9,440
LUDB,test,145,9,440
LUDB,test,146,8,440
LUDB,test,147,8,440
LUDB,test,148,9,440
LUDB,test,149,9,440
LUDB,test,151,10,440
LUDB,test,152,9,440
LUDB,test,153,7,440
LUDB,test,154,10,440
LUDB,test,155,8,440
LUDB,test,157,8,440
LUDB,test,158,9,440
LUDB,test,159,10,440
LUDB,test,161,9,440
LUDB,test,162,9,440
LUDB,test,163,10,440
LUDB,test,164,9,440
LUDB,test,165,10,440
LUDB,test,166,9,440
LUDB,test,167,10,440
LUDB,test,168,9,440
LUDB,test,169,8,440
LUDB,test,170,7,440
LUDB,test,171,10,440
LUDB,test,172,7,440
LUDB,test,173,11,440
LUDB,test,174,8,440
LUDB,test,175,10,440
LUDB,test,176,9,440
LUDB,test,177,10,440
LUDB,test,178,12,440
LUDB,test,179,9,440
LUDB,test,180,11,440
LUDB,test,181,9,440
LUDB,test,182,11,440
LUDB,test,183,10,440
LUDB,test,184,9,440
LUDB,test,185,13,440
LUDB,test,186,10,440
LUDB,test,187,9,440
LUDB,test,188,12,440
LUDB,test,189,7,440
LUDB,test,190,11,440
LUDB,test,191,9,440
LUDB,test,192,9,440
LUDB,test,193,8,440
LUDB,test,194,8,440
LUDB,test,195,9,440
LUDB,test,196,11,440
LUDB,test,197,11,440
LUDB,test,198,8,440
LUDB,test,199,8,440
LUDB,test,200,9,440
